nom,SIREN,COG,type,population,tranche_pop,adresse_courriel,telephone,site_internet
Martinique,200055507,02,CTU,382294,100.000 ≤ hab < 500.000,,,
Guyane,200052678,03,CTU,271829,100.000 ≤ hab < 500.000,,,
Aisne,220200026,02,DEP,549587,500.000 ≤ hab < 1.000.000,,,
Allier,220300016,03,DEP,349336,100.000 ≤ hab < 500.000,,,
Ardennes,220800049,08,DEP,283004,100.000 ≤ hab < 500.000,,,
Aveyron,221200017,12,DEP,289481,100.000 ≤ hab < 500.000,,,
Bouches-du-Rhône,221300015,13,DEP,2047433,hab ≥ 1.000.000,,,
Cher,221800014,18,DEP,315100,100.000 ≤ hab < 500.000,,,
Corrèze,221927205,19,DEP,249707,100.000 ≤ hab < 500.000,,,
Creuse,222309627,23,DEP,123500,100.000 ≤ hab < 500.000,,,
Dordogne,222400012,24,DEP,426667,100.000 ≤ hab < 500.000,,,
Drôme,222600017,26,DEP,522276,500.000 ≤ hab < 1.000.000,,,
Corse-du-Sud,222000028,2A,DEP,,,,,
Haute-Corse,222000036,2B,DEP,,,,,
Gard,223000019,30,DEP,757564,500.000 ≤ hab < 1.000.000,,,
Landes,224000018,40,DEP,418200,100.000 ≤ hab < 500.000,,,
Loire,224200014,42,DEP,778211,500.000 ≤ hab < 1.000.000,,,
Haute-Loire,224300012,43,DEP,234613,100.000 ≤ hab < 500.000,,,
Lot-et-Garonne,224700013,47,DEP,342358,100.000 ≤ hab < 500.000,,,
Lozère,224800011,48,DEP,80141,10.000 ≤ hab < 100.000,,,
Marne,225100015,51,DEP,584108,500.000 ≤ hab < 1.000.000,,,
Haute-Marne,225200013,52,DEP,183720,100.000 ≤ hab < 500.000,,,
Meuse,225500016,55,DEP,195047,100.000 ≤ hab < 500.000,,,
Orne,226100014,61,DEP,294421,100.000 ≤ hab < 500.000,,,
Pas-de-Calais,226200012,62,DEP,1494330,hab ≥ 1.000.000,,,
Alsace,226800019,67A,DEP,777734,500.000 ≤ hab < 1.000.000,,,
Rhône,226900017,69,DEP,464828,100.000 ≤ hab < 500.000,,,
Haute-Saône,227000015,70,DEP,244305,100.000 ≤ hab < 500.000,,,
Haute-Savoie,227400017,74,DEP,823928,500.000 ≤ hab < 1.000.000,,,
Yvelines,227806460,78,DEP,1458275,hab ≥ 1.000.000,,,
Tarn,228100012,81,DEP,397929,100.000 ≤ hab < 500.000,,,
Tarn-et-Garonne,228200010,82,DEP,263125,100.000 ≤ hab < 500.000,,,
Vendée,228500013,85,DEP,689496,500.000 ≤ hab < 1.000.000,,,
Haute-Vienne,228708517,87,DEP,383215,100.000 ≤ hab < 500.000,,,
Vosges,228800017,88,DEP,382328,100.000 ≤ hab < 500.000,,,
Territoire de Belfort,229000013,90,DEP,147347,100.000 ≤ hab < 500.000,,,
Essonne,229102280,91,DEP,1305061,hab ≥ 1.000.000,,,
Val-de-Marne,229400288,94,DEP,1389336,hab ≥ 1.000.000,,,
Val-d'Oise,229501275,95,DEP,1237218,hab ≥ 1.000.000,,,
Guadeloupe,229710017,971,DEP,400170,100.000 ≤ hab < 500.000,,,
La Réunion,229740014,974,DEP,862814,500.000 ≤ hab < 1.000.000,,,
Mayotte,229850003,976,DEP,262895,100.000 ≤ hab < 500.000,,,
L'Abergement-Clémenciat,210100012,01001,COM,785,hab < 1000,,,
L'Abergement-de-Varey,210100020,01002,COM,244,hab < 1000,mairie@abergement-de-varey.fr,04 74 36 89 79,https://abergement-de-varey.fr
Ambérieu-en-Bugey,210100046,01004,COM,14518,10.000 ≤ hab < 100.000,accueil@ville-amberieu.fr,04 74 46 17 00,http://www.ville-amberieuenbugey.fr
Ambérieux-en-Dombes,210100053,01005,COM,1705,1000 ≤ hab < 3500,mairie@amberieux-en-dombes.fr,04 74 00 84 15,http://www.amberieux-en-dombes.fr
Ambléon,210100061,01006,COM,116,hab < 1000,,,
Ambronay,210100079,01007,COM,2788,1000 ≤ hab < 3500,accueil@ambronay.fr,04 74 38 13 32,https://www.ambronay.fr
Ambutrix,210100087,01008,COM,763,hab < 1000,mairie.ambutrix@wanadoo.fr,04 74 38 04 50,http://www.ambutrix.fr
Andert-et-Condon,210100095,01009,COM,344,hab < 1000,mairie@andertetcondon.fr,04 79 81 57 27,http://www.andertetcondon.fr
Anglefort,210100103,01010,COM,1142,1000 ≤ hab < 3500,mairie.anglefort@gmail.com,04 50 56 17 16,http://www.anglefort.fr
Apremont,210100111,01011,COM,394,hab < 1000,mairie@apremont-ain.fr,04 74 75 50 24,http://www.apremont-ain.fr
Aranc,210100129,01012,COM,330,hab < 1000,mairie.aranc@wanadoo.fr,04 74 38 57 05,http://www.aranc.info
Arandas,210100137,01013,COM,151,hab < 1000,,,
Arbent,210100145,01014,COM,3470,1000 ≤ hab < 3500,adminarbent@mairie-arbent.fr,04 74 81 65 55,http://www.arbent.fr
Arboys en Bugey,200053668,01015,COM,656,hab < 1000,mairie@arboysenbugey.com,04 79 81 34 92,http://www.arboysenbugey.com
Arbigny,210100160,01016,COM,466,hab < 1000,,,
Argis,210100178,01017,COM,452,hab < 1000,,,
Armix,210100194,01019,COM,26,hab < 1000,,,
Ars-sur-Formans,210100210,01021,COM,1418,1000 ≤ hab < 3500,mairie@ars-sur-formans.fr,04 74 00 71 84,https://www.ars-sur-formans.fr
Artemare,210100228,01022,COM,1248,1000 ≤ hab < 3500,mairie@artemare.fr,04 79 87 32 64,http://www.artemare.fr
Asnières-sur-Saône,210100236,01023,COM,66,hab < 1000,,,
Attignat,210100244,01024,COM,3336,1000 ≤ hab < 3500,accueil@attignat.fr,04 74 30 92 16,http://www.attignat.fr
Bâgé-Dommartin,200077220,01025,COM,4191,3500 ≤ hab < 10.000,mairie@bage-dommartin.fr,03 85 30 43 94,https://bage-dommartin.fr
