nom,SIREN,type,code_region,code_departement,population,tranche_pop,adresse_courriel,telephone,site_internet
Boucle Nord de Seine,200057990,EPT,11,92,445459,100.000 ≤ hab < 500.000,,,
CA Alès Agglomération,200066918,CA,76,30,132220,100.000 ≤ hab < 500.000,accueil.atome@alesagglo.fr,04 66 55 84 00,https://www.ales.fr
CA Amiens Métropole,248000531,CA,32,80,183911,100.000 ≤ hab < 500.000,,,
CA Annonay Rhône Agglo,200072015,CA,84,07,49955,10.000 ≤ hab < 100.000,courrier.agglo@annonayrhoneagglo.fr,04 75 67 55 57,http://www.annonayrhoneagglo.fr
CA Arche Agglo,200073096,CA,84,"07,26",58684,10.000 ≤ hab < 100.000,accueil@archeagglo.fr,04 26 78 78 78,http://www.archeagglo.fr
CA Arlysère,200068997,CA,84,73,62785,10.000 ≤ hab < 100.000,contact@arlysere.fr,04 79 10 48 48,http://www.arlysere.fr
CA Bassin d'Arcachon Sud-Pôle Atlantique (COBAS),243300563,CA,75,33,67244,10.000 ≤ hab < 100.000,cobas@agglo-cobas.fr,05 56 22 33 44,http://www.agglo-cobas.fr
CA Bergeracoise,200070647,CA,75,24,62830,10.000 ≤ hab < 100.000,contact@la-cab.fr,05 53 23 43 95,http://www.la-cab.fr
CA Cap Excellence,200018653,CA,01,971,102354,100.000 ≤ hab < 500.000,,,
CA Carcassonne Agglo,200035715,CA,76,11,114651,100.000 ≤ hab < 500.000,,04 68 10 56 00,https://www.carcassonne-agglo.fr
CA Chartres Métropole,200033181,CA,24,28,140716,100.000 ≤ hab < 500.000,,,
CA Chauny-Tergnier-La Fère,200071785,CA,32,02,57077,10.000 ≤ hab < 100.000,accueil@ctlf.fr,03 23 39 94 94,http://www.ctlf.fr
CA CIVIS (Communauté Intercommunale des VIlles Solidaires),249740077,CA,04,974,182868,100.000 ≤ hab < 500.000,,,
CA Clisson Sèvre et Maine Agglo,200067635,CA,52,44,55686,10.000 ≤ hab < 100.000,accueil@clissonsevremaine.fr,02 40 54 75 15,http://www.clissonsevremaine.fr
CA Concarneau Cornouaille Agglomération,242900769,CA,53,29,51698,10.000 ≤ hab < 100.000,contact@cca.bzh,02 98 97 71 50,http://www.cca.bzh
CA Coulommiers Pays de Brie,200090504,CA,11,77,76700,10.000 ≤ hab < 100.000,accueil@coulommierspaysdebrie.fr,01 64 75 38 90,http://www.coulommierspaysdebrie.fr
CA Creil Sud Oise,200068047,CA,32,60,87556,10.000 ≤ hab < 100.000,contact@agglomerationcreilsudoise.fr,03 44 64 74 74,http://www.agglocreilloise.fr
CA d'Agen,200035459,CA,75,47,99176,10.000 ≤ hab < 100.000,,,
CA d'Épinal,200068757,CA,44,88,115386,100.000 ≤ hab < 500.000,,,
CA d'Hénin-Carvin,246200299,CA,32,62,126414,100.000 ≤ hab < 500.000,communication@agglo-henincarvin.fr,03 21 79 13 79,http://www.agglo-henincarvin.fr
