Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
RTE;2019;Electricité;0.0;0;0;0.0;28025.068;1;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;53181;Pontmain;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;28025.068;53220
Enedis;2019;Electricité;428.551855566173;26;0;0.505;256.158735141863;9;0;0.63;527.664480416758;48;0;0.451;5127.76037217703;747;0;0.502;1.248099796;33.9;99.6389342744777;16;0;0.495;53001;Ahuillé;200083392;CA Laval Agglomération;53;Mayenne;52;Pays de la Loire;100;6439.774377576302;53940
Enedis;2019;Electricité;923.062537385457;24;0;0.75;0.0;0;1;0.0;440.853898784572;23;0;0.9;1508.78219944869;211;0;0.765;0.0;0.0;52.7176217432224;3;0;0.906;53002;Alexain;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;2925.4162573619415;53240
Enedis;2019;Electricité;229.545410687929;11;0;0.484;0.0;0;1;0.0;75.4098476478275;11;0;0.37;1166.42954429334;171;0;0.393;0.0;0.0;0.0;0;1;0.0;53010;Assé-le-Bérenger;200033298;CC des Coëvrons;53;Mayenne;52;Pays de la Loire;100;1471.3848026290966;53600
Enedis;2019;Electricité;139.019731785043;6;0;0.567;0.0;0;0;0.0;215.50542221821;15;0;0.806;1688.2908650691;232;0;0.783;0.0;0.0;0.0;0;0;0.0;53028;Belgeard;200055887;CC Mayenne Communauté;53;Mayenne;52;Pays de la Loire;100;2042.816019072353;53440
Enedis;2019;Electricité;243.392761829315;12;0;0.768;1.45087618035734;1;1;0.369;91.1361317147511;24;0;0.737;1426.43537970377;214;0;0.613;0.0;0.0;228.376200591089;7;0;0.911;53067;Chémeré-le-Roi;245300223;CC du Pays de Meslay-Grez;53;Mayenne;52;Pays de la Loire;100;1990.7913500192824;53340
Enedis;2019;Electricité;844.909614426862;29;0;0.496;6480.51433152579;4;1;1.0;162.421875463135;24;0;0.416;2660.29430270898;413;0;0.416;0.0;0.0;27.5320160522842;11;0;0.443;53073;Congrier;200048551;CC du Pays de Craon;53;Mayenne;52;Pays de la Loire;100;10175.672140177052;53800
Enedis;2019;Electricité;143.303741382932;8;0;0.901;0.0;0;1;0.0;1409.49093622112;34;0;0.837;1629.29990508619;285;0;0.771;0.0;0.0;106.246178584916;7;0;0.568;53089;Daon;245300447;CC du Pays de Château-Gontier;53;Mayenne;52;Pays de la Loire;100;3288.3407612751575;53200
Enedis;2019;Electricité;393.594323394338;32;0;0.603;0.0;0;0;0.0;39.8282377240244;12;0;0.55;699.158799959356;164;0;0.574;0.0;0.0;57.6465432447514;5;0;0.705;53093;La Dorée;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;1190.2279043224698;53190
Enedis;2019;Electricité;1245.1307470299;66;0;0.725;2537.09107542954;10;0;0.788;1146.45783310882;57;0;0.753;3862.22740761142;687;0;0.643;0.566697046;24.1;325.975866709585;13;0;0.756;53100;Fougerolles-du-Plessis;245300389;CC du Bocage Mayennais;53;Mayenne;52;Pays de la Loire;100;9116.882929889263;53190
